wins
0.491
0.617
0.395
0.438
0.599
0.531
0.414
0.636
0.512
0.562
0.512
0.457
0.414
0.556
0.549
0.549
0.451
0.537
0.377
0.481
0.512
0.475
0.556
0.574
0.543
0.37
0.401
0.488
0.42
0.549
0.519
0.5
0.537
0.469
0.568
0.395
0.481
0.531
0.543
0.605
0.481
0.438
0.611
0.457
0.432
0.568
0.525
0.432
0.537
0.432
0.42
0.562
0.457
0.519
0.488
0.37
0.488
0.549
0.494
0.525
0.531
0.457
0.432
0.642
0.494
0.519
0.5
0.488
0.5
0.556
0.537
0.475
0.5
0.463
0.568
0.407
0.457
0.519
0.407
0.478
0.553
0.37
0.512
0.562
0.556
0.586
0.475
0.605
0.475
0.463
0.512
0.383
0.457
0.623
0.451
0.444
0.531
0.537
0.593
0.469
0.568
0.451
0.438
0.667
0.556
0.469
0.395
0.457
0.512
0.414
0.537
0.414
0.481
0.475
0.519
0.377
0.605
0.469
0.512
0.463
0.451
0.562
0.525
0.568
0.549
0.5
0.494
0.494
0.401
0.556
0.481
0.586
0.463
0.593
0.562
0.549
0.481
0.543
0.506
0.463
0.584
0.537
0.562
0.642
0.404
0.512
0.469
0.537
0.537
0.512
0.574
0.463
0.451
0.364
0.531
0.568
0.562
0.5
0.494
0.537
0.611
0.549
0.568
0.451
0.512
0.549
0.5
0.401
0.543
0.475
0.58
0.562
0.475
0.488
0.463
0.494
0.531
0.457
0.457
0.562
0.414
0.636
0.475
0.586
0.463
0.525
0.475
0.432
0.512
0.531
0.525
0.58
0.414
0.519
0.537
0.457
0.352
0.519
0.401
0.506
0.5
0.574
0.512
0.586
0.438
0.519
0.481
0.605
0.519
0.463
0.512
0.519
0.525
0.562
0.605
0.549
0.451
0.481
0.531
0.556
0.469
0.463
0.5
0.444
0.444
0.389
0.568
0.556
0.444
0.469
0.593
0.432
0.593
0.506
0.444
0.395
0.512
0.475
0.593
0.537
0.642
0.525
0.494
0.58
0.451
0.469
0.414
0.525
0.525
0.519
0.438
0.5
0.395
0.426
0.438
0.364
0.543
0.42
0.599
0.463
0.377
0.636
0.506
0.537
0.531
0.586
0.593
0.525
0.469
0.525
0.5
0.512
0.327
0.506
0.556
0.494
0.494
0.481
0.438
0.568
0.481
0.414
0.451
0.562
0.42
0.543
0.457
0.543
0.623
0.605
0.481
0.42
0.469
0.512
0.488
0.519
0.519
0.543
0.568
0.42
0.543
0.593
0.401
0.42
0.488
0.469
0.556
0.556
0.451
0.475
0.469
0.481
0.401
0.654
0.488
0.568
0.475
0.549
0.475
0.401
0.63
0.525
0.512
0.333
0.457
0.432
0.543
0.704
0.457
0.463
0.605
0.389
0.543
0.401
0.617
0.636
0.481
0.58
0.414
0.466
0.599
0.444
0.599
0.432
0.475
0.395
0.605
0.537
0.475
0.457
0.531
0.488
0.426
0.586
0.519
0.42
0.525
0.586
0.457
0.525
0.401
0.586
0.556
0.506
0.488
0.444
0.475
0.506
0.531
0.426
0.58
0.401
0.426
0.469
0.599
0.562
0.586
0.438
0.512
0.414
0.568
0.543
0.391
0.543
0.512
0.407
0.562
0.451
0.407
0.574
0.401
0.463
0.531
0.469
0.42
0.525
0.506
0.63
0.531
0.383
0.488
0.556
0.716
0.574
0.383
0.451
0.494
0.42
0.605
0.414
0.574
0.414
0.5
0.481
0.457
0.451
0.519
0.383
0.611
0.568
0.488
0.346
0.636
0.407
0.59
0.574
0.599
0.444
0.481
0.512
0.519
0.623
0.586
0.543
0.531
0.426
0.42
0.457
0.265
0.537
0.512
0.475
0.525
0.562
0.42
0.556
0.593
0.531
0.463
0.395
0.574
0.525
0.389
0.438
0.531
0.512
0.315
0.593
0.481
0.605
0.549
0.512
0.469
0.494
0.42
0.444
0.568
0.358
0.568
0.574
0.512
0.568
0.438
0.623
0.562
0.531
0.537
0.562
0.389
0.648
0.549
0.414
0.475
0.556
0.457
0.586
0.488
0.611
0.574
0.414
0.438
0.346
0.586
0.438
0.512
0.5
0.512
0.512
0.586
0.543
0.543
0.414
0.506
0.463
0.426
0.617
0.414
0.488
0.494
0.5
0.469
0.488
0.432
0.531
0.407
0.556
0.494
0.481
0.469
0.586
0.506
0.383
0.549
0.543
0.481
0.463
0.593
0.599
0.599
0.574
0.525
0.414
0.543
0.481
0.377
0.494
0.537
0.438
0.556
0.519
0.426
0.593
0.525
0.444
0.444
0.593
0.543
0.451
0.426
0.58
0.506
0.438
0.512
0.488
0.543
0.58
0.469
0.549
0.42
0.438
0.543
0.481
0.407
0.463
0.512
0.451
0.506
0.444
0.586
0.457
0.5
0.457
0.457
0.463
0.617
0.519
0.556
0.549
0.549
0.568
0.414
0.389
0.444
0.377
0.531
0.599
0.488
0.531
0.432
0.531
0.395
0.586
0.488
0.481
0.401
0.568
0.457
0.401
0.599
0.586
0.537
0.494
0.432
0.636
0.463
0.574
0.463
0.543
0.525
0.562
0.519
0.537
0.463
0.364
0.401
0.562
0.407
0.549
0.463
0.543
0.562
0.426
0.512
0.5
0.469
0.414
0.494
0.494
0.494
0.475
0.58
0.488
0.586
0.5
0.599
0.352
0.556
0.568
0.377
0.531
0.593
0.556
0.525
0.426
0.58
0.549
0.426
0.556
0.438
0.488
0.488
0.494
0.451
0.586
0.346
0.438
0.531
0.444
0.593
0.389
0.475
0.599
0.457
0.63
0.444
0.438
0.531
0.414
0.556
0.562
0.593
0.5
0.5
0.58
0.574
0.426
0.377
0.525
0.599
0.42
0.395
0.543
0.34
0.444
0.549
0.531
0.426
0.512
0.407
0.457
0.586
0.58
0.5
0.488
0.469
0.58
0.463
0.543
0.556
0.574
0.451
0.605
0.5
0.593
0.525
0.599
0.407
0.389
0.556
0.568
0.457
0.574
0.315
0.531
0.481
0.568
0.383
0.457
0.407
0.457
0.525
0.593
0.451
0.58
0.469
0.469
0.438
0.599
0.457
0.531
0.395
0.488
0.593
0.438
0.451
0.451
