wins,attend
0.488,2378128
0.556,3311958
0.716,3507326
0.574,3109578
0.383,1298365
0.451,2831021
0.494,1915438
0.42,642745
0.605,3198977
0.414,2682439
0.574,2650862
0.414,2693096
0.5,1676911
0.481,1855787
0.457,2616940
0.451,2737838
0.519,2517357
0.383,1323036
0.611,2305547
0.568,3131255
0.488,813118
0.346,1969153
0.636,2169811
0.407,2220601
0.59,3253203
0.574,3542938
0.599,3011756
0.444,2352397
0.481,1637900
0.512,812045
0.519,2805542
0.623,2401084
0.586,2724165
0.543,2962630
0.531,1939524
0.426,2355259
0.42,1730002
0.457,2334085
0.265,1368245
0.537,2454241
0.512,1779895
0.475,3061094
0.525,3138626
0.562,1303215
0.42,1700354
0.556,1946011
0.593,2216596
0.531,2259948
0.463,1636751
0.395,2030084
0.574,3268509
0.525,2910386
0.389,1058695
0.438,2094394
0.531,1799458
0.512,1025639
0.315,2519560
0.593,2327565
0.481,2744018
0.605,2837294
0.549,3170154
0.512,1930537
0.469,2287250
0.494,1814401
0.42,2338069
0.444,1917004
0.568,3087872
0.358,1661478
0.568,3375677
0.574,3488283
0.512,1723105
0.568,1911490
0.438,2318951
0.623,3775292
0.562,2201516
0.531,3250092
0.537,3016752
0.562,3256854
0.389,2940731
0.648,3048427
0.549,2513685
0.414,749550
0.475,2059424
0.556,2521167
0.457,2624740
0.586,2847888
0.488,3099992
0.611,2342833
0.574,2013763
0.414,1914389
0.438,2024431
0.346,1371181
0.586,3404686
0.438,3603646
0.512,1852608
0.5,2211023
0.512,2034243
0.512,2829929
0.586,4090696
0.543,2109118
0.543,2665304
0.414,1817245
0.506,2869787
0.463,3181023
0.426,2725459
0.617,3538988
0.414,1141669
0.488,2525221
0.494,2014995
0.5,2731993
0.469,2091685
0.488,2550524
0.432,2153139
0.531,2930588
0.407,3123215
0.556,2957414
0.494,2134607
0.481,1997995
0.469,2104362
0.586,2595937
0.506,3022763
0.383,1372638
0.549,3406790
0.543,3758545
0.481,1164134
0.463,2335643
0.593,2285018
0.599,3379535
0.599,4248067
0.574,1976625
0.525,2701815
0.414,1861549
0.543,2659757
0.481,2481165
0.377,1368950
0.494,2388757
0.537,2302212
0.438,2153056
0.556,2325249
0.519,2745207
0.426,2164822
0.593,2970755
0.525,3252462
0.444,2684395
0.444,2058593
0.593,2275912
0.543,3047133
0.451,3020405
0.426,1616867
0.58,3365632
0.506,3857036
0.438,1370511
0.512,2869144
0.488,2296383
0.543,3853955
0.58,4271083
0.469,1921844
0.549,3108325
0.42,1749142
0.438,3223215
0.543,2672223
0.481,3552180
0.407,1387603
0.463,2353862
0.512,2360644
0.451,1943812
0.506,2509924
0.444,2532834
0.586,3048250
0.457,2058632
0.5,2169760
0.457,2650218
0.457,3202645
0.463,1578922
0.617,3336747
0.519,3730553
0.556,3068458
0.549,4042045
0.549,4298655
0.568,3422583
