"oteam_name","year","lg","w","l","t","w_l","playoffs","att","cteam_name","team","venue","address","city","lat","lng"
"Boston Beaneaters",1906,"NL",49,102,1,"0.325",NULL,"143280","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Doves",1907,"NL",58,90,4,"0.392",NULL,"203221","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Doves",1908,"NL",63,91,2,"0.409",NULL,"253750","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Doves",1909,"NL",45,108,2,"0.294",NULL,"195188","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Doves",1910,"NL",53,100,4,"0.346",NULL,"149027","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Rustlers",1911,"NL",44,107,5,"0.291",NULL,"116000","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1912,"NL",52,101,2,"0.34",NULL,"121000","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1913,"NL",69,82,3,"0.457",NULL,"208000","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1914,"NL",94,59,5,"0.614","Won WS (4-0)","382913","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1915,"NL",83,69,5,"0.546",NULL,"376283","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1916,"NL",89,63,6,"0.586",NULL,"313495","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1917,"NL",72,81,4,"0.471",NULL,"174253","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1918,"NL",53,71,0,"0.427",NULL,"84938","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1919,"NL",57,82,1,"0.41",NULL,"167401","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1920,"NL",62,90,1,"0.408",NULL,"162483","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1921,"NL",79,74,0,"0.516",NULL,"318627","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1922,"NL",53,100,1,"0.346",NULL,"167965","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1923,"NL",54,100,1,"0.351",NULL,"227802","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1924,"NL",53,100,1,"0.346",NULL,"177478","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1925,"NL",70,83,0,"0.458",NULL,"313528","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1926,"NL",66,86,1,"0.434",NULL,"303598","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1927,"NL",60,94,1,"0.39",NULL,"288685","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1928,"NL",50,103,0,"0.327",NULL,"227001","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1929,"NL",56,98,0,"0.364",NULL,"372351","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1930,"NL",70,84,0,"0.455",NULL,"464835","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1931,"NL",64,90,2,"0.416",NULL,"515005","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1932,"NL",77,77,1,"0.5",NULL,"507606","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1933,"NL",83,71,2,"0.539",NULL,"517803","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1934,"NL",78,73,1,"0.517",NULL,"303205","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1935,"NL",38,115,0,"0.248",NULL,"232754","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Bees",1936,"NL",71,83,3,"0.461",NULL,"340585","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Bees",1937,"NL",79,73,0,"0.52",NULL,"385339","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Bees",1938,"NL",77,75,1,"0.507",NULL,"341149","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Bees",1939,"NL",63,88,1,"0.417",NULL,"285994","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Bees",1940,"NL",65,87,0,"0.428",NULL,"241616","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1941,"NL",62,92,2,"0.403",NULL,"263680","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1942,"NL",59,89,2,"0.399",NULL,"285332","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1943,"NL",68,85,0,"0.444",NULL,"271289","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1944,"NL",65,89,1,"0.422",NULL,"208691","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1945,"NL",67,85,2,"0.441",NULL,"374178","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1946,"NL",81,72,1,"0.529",NULL,"969673","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1947,"NL",86,68,0,"0.558",NULL,"1277361","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1948,"NL",91,62,1,"0.595","Lost WS (4-2)","1455439","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1949,"NL",75,79,3,"0.487",NULL,"1081795","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1950,"NL",83,71,2,"0.539",NULL,"944391","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1951,"NL",76,78,1,"0.494",NULL,"487475","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Boston Braves",1952,"NL",64,89,2,"0.418",NULL,"281278","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1953,"NL",92,62,3,"0.597",NULL,"1826397","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1954,"NL",89,65,0,"0.578",NULL,"2131388","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1955,"NL",85,69,0,"0.552",NULL,"2005836","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1956,"NL",92,62,1,"0.597",NULL,"2046331","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
"Milwaukee Braves",1957,"NL",95,59,1,"0.617","Won WS (4-3)","2215404","Atlanta Braves","Atlanta Braves","SunTrust Park","P.O. Box 4064, Atlanta, GA. 30302","Atlanta","33.74691","-84.391235"
